entry_id,cell_id,proj_oof,fold,rate_a,layer,lambda
cloud_provider,p0_t0_e0,-7.839447021484375,4,1.0,48,100.0
cloud_provider,p0_t0_e1,-5.481513500213623,2,1.0,48,100.0
cloud_provider,p0_t0_e2,-9.530821800231934,1,0.9599999785423279,48,100.0
cloud_provider,p0_t0_e3,-5.283048629760742,1,1.0,48,100.0
cloud_provider,p0_t1_e0,-8.043427467346191,4,1.0,48,100.0
cloud_provider,p0_t1_e1,2.7028932571411133,3,1.0,48,100.0
cloud_provider,p0_t1_e2,-9.003860473632812,1,0.9599999785423279,48,100.0
cloud_provider,p0_t1_e3,2.965027332305908,3,1.0,48,100.0
cloud_provider,p0_t2_e0,-5.784853458404541,2,1.0,48,100.0
cloud_provider,p0_t2_e1,-9.06762981414795,4,1.0,48,100.0
cloud_provider,p0_t2_e2,-7.015991687774658,0,0.7200000286102295,48,100.0
cloud_provider,p0_t2_e3,-8.506604194641113,4,1.0,48,100.0
cloud_provider,p0_t3_e0,-7.656169891357422,4,1.0,48,100.0
cloud_provider,p0_t3_e1,-5.363787651062012,1,1.0,48,100.0
cloud_provider,p0_t3_e2,-10.406659126281738,4,1.0,48,100.0
cloud_provider,p0_t3_e3,-7.366145133972168,4,1.0,48,100.0
cloud_provider,p0_t4_e0,-2.8609471321105957,0,1.0,48,100.0
cloud_provider,p0_t4_e1,-2.5561957359313965,0,1.0,48,100.0
cloud_provider,p0_t4_e2,-10.145418167114258,4,1.0,48,100.0
cloud_provider,p0_t4_e3,3.2266926765441895,3,1.0,48,100.0
cloud_provider,p1_t0_e0,-6.058884620666504,2,1.0,48,100.0
cloud_provider,p1_t0_e1,-5.206440448760986,2,1.0,48,100.0
cloud_provider,p1_t0_e2,-9.527390480041504,2,0.4000000059604645,48,100.0
cloud_provider,p1_t0_e3,-5.540449619293213,1,1.0,48,100.0
cloud_provider,p1_t1_e0,-3.5724382400512695,0,1.0,48,100.0
cloud_provider,p1_t1_e1,-3.317354679107666,0,1.0,48,100.0
cloud_provider,p1_t1_e2,-10.343113899230957,1,0.6800000071525574,48,100.0
cloud_provider,p1_t1_e3,1.6560112237930298,3,1.0,48,100.0
cloud_provider,p1_t2_e0,-6.79217004776001,2,1.0,48,100.0
cloud_provider,p1_t2_e1,-9.938530921936035,4,1.0,48,100.0
cloud_provider,p1_t2_e2,-6.9620137214660645,0,0.2800000011920929,48,100.0
cloud_provider,p1_t2_e3,0.12123323231935501,3,1.0,48,100.0
cloud_provider,p1_t3_e0,-3.2161850929260254,0,1.0,48,100.0
cloud_provider,p1_t3_e1,-5.224444389343262,2,1.0,48,100.0
cloud_provider,p1_t3_e2,-8.535401344299316,2,1.0,48,100.0
cloud_provider,p1_t3_e3,-5.287487506866455,2,1.0,48,100.0
cloud_provider,p1_t4_e0,-5.873861312866211,1,1.0,48,100.0
cloud_provider,p1_t4_e1,1.7206840515136719,3,1.0,48,100.0
cloud_provider,p1_t4_e2,-9.455694198608398,1,1.0,48,100.0
cloud_provider,p1_t4_e3,2.7199156284332275,3,1.0,48,100.0
cloud_provider,p2_t0_e0,-5.441384315490723,2,1.0,48,100.0
cloud_provider,p2_t0_e1,-4.151954174041748,0,1.0,48,100.0
cloud_provider,p2_t0_e2,-8.04043960571289,2,1.0,48,100.0
cloud_provider,p2_t0_e3,-8.090853691101074,4,1.0,48,100.0
cloud_provider,p2_t1_e0,-6.929994583129883,2,1.0,48,100.0
cloud_provider,p2_t1_e1,-9.583319664001465,4,1.0,48,100.0
