entry_id,cell_id,proj,layer
annuity_choice,p4_t4_e3,-0.11827242374420166,48
audit_firm,p0_t0_e0,0.48885396122932434,48
audit_firm,p0_t0_e1,0.487545907497406,48
audit_firm,p0_t0_e2,0.49213507771492004,48
audit_firm,p0_t0_e3,0.4902239739894867,48
audit_firm,p0_t1_e0,0.48566722869873047,48
audit_firm,p0_t1_e1,0.4865344762802124,48
audit_firm,p0_t1_e2,0.4918375313282013,48
audit_firm,p0_t1_e3,0.48880794644355774,48
audit_firm,p0_t2_e0,0.4831768572330475,48
audit_firm,p0_t2_e1,0.4823935627937317,48
audit_firm,p0_t2_e2,0.4876912236213684,48
audit_firm,p0_t2_e3,0.48596277832984924,48
audit_firm,p0_t3_e0,0.48623126745224,48
audit_firm,p0_t3_e1,0.48614266514778137,48
audit_firm,p0_t3_e2,0.4919506013393402,48
audit_firm,p0_t3_e3,0.48921000957489014,48
audit_firm,p0_t4_e0,0.4905427396297455,48
audit_firm,p0_t4_e1,0.4878595173358917,48
audit_firm,p0_t4_e2,0.49371710419654846,48
audit_firm,p0_t4_e3,0.4903729259967804,48
audit_firm,p1_t0_e0,0.4856710731983185,48
audit_firm,p1_t0_e1,0.4812953770160675,48
audit_firm,p1_t0_e2,0.49017244577407837,48
audit_firm,p1_t0_e3,0.48624542355537415,48
audit_firm,p1_t1_e0,0.4831944406032562,48
audit_firm,p1_t1_e1,0.48192325234413147,48
audit_firm,p1_t1_e2,0.49121665954589844,48
audit_firm,p1_t1_e3,0.48498794436454773,48
audit_firm,p1_t2_e0,0.48128366470336914,48
audit_firm,p1_t2_e1,0.48102760314941406,48
audit_firm,p1_t2_e2,0.48615169525146484,48
audit_firm,p1_t2_e3,0.48271358013153076,48
audit_firm,p1_t3_e0,0.48382189869880676,48
audit_firm,p1_t3_e1,0.4813758432865143,48
audit_firm,p1_t3_e2,0.4879004955291748,48
audit_firm,p1_t3_e3,0.48476526141166687,48
audit_firm,p1_t4_e0,0.48521023988723755,48
audit_firm,p1_t4_e1,0.48446711897850037,48
audit_firm,p1_t4_e2,0.4902496933937073,48
audit_firm,p1_t4_e3,0.4883354902267456,48
audit_firm,p2_t0_e0,0.4888523519039154,48
audit_firm,p2_t0_e1,0.486674040555954,48
audit_firm,p2_t0_e2,0.494820773601532,48
audit_firm,p2_t0_e3,0.49255502223968506,48
audit_firm,p2_t1_e0,0.4838019907474518,48
audit_firm,p2_t1_e1,0.48376744985580444,48
audit_firm,p2_t1_e2,0.49085474014282227,48
audit_firm,p2_t1_e3,0.4869229197502136,48
audit_firm,p2_t2_e0,0.48376598954200745,48
audit_firm,p2_t2_e1,0.4810984134674072,48
audit_firm,p2_t2_e2,0.4894219636917114,48
audit_firm,p2_t2_e3,0.48625415563583374,48
audit_firm,p2_t3_e0,0.4860130548477173,48
audit_firm,p2_t3_e1,0.48390400409698486,48
audit_firm,p2_t3_e2,0.490454763174057,48
audit_firm,p2_t3_e3,0.4882589280605316,48
audit_firm,p2_t4_e0,0.49017083644866943,48
audit_firm,p2_t4_e1,0.48947063088417053,48
audit_firm,p2_t4_e2,0.4947097599506378,48
audit_firm,p2_t4_e3,0.4945666193962097,48
audit_firm,p3_t0_e0,0.48201820254325867,48
audit_firm,p3_t0_e1,0.47874364256858826,48
audit_firm,p3_t0_e2,0.4885309338569641,48
audit_firm,p3_t0_e3,0.48131757974624634,48
audit_firm,p3_t1_e0,0.4818185865879059,48
audit_firm,p3_t1_e1,0.47938084602355957,48
audit_firm,p3_t1_e2,0.48490768671035767,48
audit_firm,p3_t1_e3,0.4838276207447052,48
audit_firm,p3_t2_e0,0.4799630045890808,48
audit_firm,p3_t2_e1,0.47969886660575867,48
audit_firm,p3_t2_e2,0.4836057424545288,48
audit_firm,p3_t2_e3,0.48244044184684753,48
audit_firm,p3_t3_e0,0.48159268498420715,48
audit_firm,p3_t3_e1,0.48109638690948486,48
audit_firm,p3_t3_e2,0.4871324896812439,48
audit_firm,p3_t3_e3,0.4833986461162567,48
audit_firm,p3_t4_e0,0.48596295714378357,48
audit_firm,p3_t4_e1,0.4829733371734619,48
audit_firm,p3_t4_e2,0.48779094219207764,48
audit_firm,p3_t4_e3,0.48555251955986023,48
audit_firm,p4_t0_e0,0.48724034428596497,48
audit_firm,p4_t0_e1,0.48625391721725464,48
audit_firm,p4_t0_e2,0.4944726824760437,48
